id,key,group_or_issue,groups_or_issues,value
17,violence,issue,particular,1
17,women,group,genderandsexuality,1
17,racialminorities,group,culturalminorities,1
18,firstnations,group,culturalminorities,1
18,women,group,genderandsexuality,1
18,crime_criminaljustice,issue,particular,1
18,children,group,age,1
19,firstnations,group,culturalminorities,1
19,women,group,genderandsexuality,1
19,work,issue,particular,1
19,healthcare_health,issue,particular,1
19,children,group,age,1
19,education,issue,particular,1
20,firstnations,group,culturalminorities,1
20,women,group,genderandsexuality,1
20,prejudiceanddiscrimination_general,issue,general,1
20,healthcare_health,issue,particular,1
20,racialminorities,group,culturalminorities,1
20,voice,issue,particular,1
21,firstnations,group,culturalminorities,1
21,women,group,genderandsexuality,1
21,healthcare_health,issue,particular,1
21,shelter,issue,particular,1
21,education,issue,particular,1
22,violence,issue,particular,1
22,women,group,genderandsexuality,1
23,violence,issue,particular,1
23,women,group,genderandsexuality,1
23,crime_criminaljustice,issue,particular,1
23,prejudiceanddiscrimination_general,issue,general,1
24,women,group,genderandsexuality,1
24,work,issue,particular,1
24,familyrelations,issue,particular,1
24,shelter,issue,particular,1
25,women,group,genderandsexuality,1
25,work,issue,particular,1
25,inequality,issue,general,1
25,youngpeople,group,age,1
25,voice,issue,particular,1
25,education,issue,particular,1
26,women,group,genderandsexuality,1
26,work,issue,particular,1
26,youngpeople,group,age,1
26,voice,issue,particular,1
27,violence,issue,particular,1
27,women,group,genderandsexuality,1
28,violence,issue,particular,1
28,women,group,genderandsexuality,1
28,children,group,age,1
29,violence,issue,particular,1
29,women,group,genderandsexuality,1
29,children,group,age,1
29,familyrelations,issue,particular,1
30,violence,issue,particular,1
30,women,group,genderandsexuality,1
30,prejudiceanddiscrimination_general,issue,general,1
30,peoplewithdisabilitiesorchronichealthconditions,group,healthstatus,1
31,violence,issue,particular,1
31,women,group,genderandsexuality,1
31,children,group,age,1
31,familyrelations,issue,particular,1
32,violence,issue,particular,1
32,women,group,genderandsexuality,1
33,women,group,genderandsexuality,1
33,work,issue,particular,1
33,healthcare_health,issue,particular,1
33,unemployedorprecariouslyemployed,group,socioeconomicstatus,1
33,youngpeople,group,age,1
33,shelter,issue,particular,1
34,women,group,genderandsexuality,1
34,work,issue,particular,1
34,racialminorities,group,culturalminorities,1
35,women,group,genderandsexuality,1
35,prejudiceanddiscrimination_general,issue,general,1
35,inequality,issue,general,1
36,women,group,genderandsexuality,1
36,crime_criminaljustice,issue,particular,1
37,violence,issue,particular,1
37,women,group,genderandsexuality,1
37,healthcare_health,issue,particular,1
37,children,group,age,1
37,familyrelations,issue,particular,1
38,violence,issue,particular,1
38,women,group,genderandsexuality,1
38,healthcare_health,issue,particular,1
39,violence,issue,particular,1
39,women,group,genderandsexuality,1
39,prejudiceanddiscrimination_general,issue,general,1
39,familyrelations,issue,particular,1
40,women,group,genderandsexuality,1
40,work,issue,particular,1
40,prejudiceanddiscrimination_general,issue,general,1
40,inequality,issue,general,1
41,violence,issue,particular,1
41,women,group,genderandsexuality,1
41,work,issue,particular,1
41,familyrelations,issue,particular,1
41,inequality,issue,general,1
42,women,group,genderandsexuality,1
42,work,issue,particular,1
42,shelter,issue,particular,1
43,violence,issue,particular,1
43,women,group,genderandsexuality,1
43,work,issue,particular,1
43,crime_criminaljustice,issue,particular,1
43,inequality,issue,general,1
44,women,group,genderandsexuality,1
44,work,issue,particular,1
44,unemployedorprecariouslyemployed,group,socioeconomicstatus,1
45,women,group,genderandsexuality,1
45,prejudiceanddiscrimination_general,issue,general,1
45,racialminorities,group,culturalminorities,1
46,women,group,genderandsexuality,1
46,prejudiceanddiscrimination_general,issue,general,1
47,violence,issue,particular,1
47,women,group,genderandsexuality,1
47,familyrelations,issue,particular,1
48,violence,issue,particular,1
48,women,group,genderandsexuality,1
48,prejudiceanddiscrimination_general,issue,general,1
48,racialminorities,group,culturalminorities,1
49,women,group,genderandsexuality,1
49,work,issue,particular,1
49,crime_criminaljustice,issue,particular,1
50,violence,issue,particular,1
50,women,group,genderandsexuality,1
50,children,group,age,1
50,familyrelations,issue,particular,1
51,women,group,genderandsexuality,1
51,work,issue,particular,1
51,youngpeople,group,age,1
51,education,issue,particular,1
52,women,group,genderandsexuality,1
52,work,issue,particular,1
52,familyrelations,issue,particular,1
52,unemployedorprecariouslyemployed,group,socioeconomicstatus,1
53,violence,issue,particular,1
53,women,group,genderandsexuality,1
53,children,group,age,1
54,violence,issue,particular,1
54,women,group,genderandsexuality,1
54,inequality,issue,general,1
55,women,group,genderandsexuality,1
55,healthcare_health,issue,particular,1
55,racialminorities,group,culturalminorities,1
56,women,group,genderandsexuality,1
56,prejudiceanddiscrimination_general,issue,general,1
56,shelter,issue,particular,1
57,women,group,genderandsexuality,1
57,work,issue,particular,1
57,prejudiceanddiscrimination_general,issue,general,1
57,familyrelations,issue,particular,1
58,violence,issue,particular,1
58,women,group,genderandsexuality,1
58,familyrelations,issue,particular,1
58,inequality,issue,general,1
59,women,group,genderandsexuality,1
59,prejudiceanddiscrimination_general,issue,general,1
59,peoplewithdisabilitiesorchronichealthconditions,group,healthstatus,1
60,women,group,genderandsexuality,1
60,work,issue,particular,1
60,inequality,issue,general,1
60,youngpeople,group,age,1
61,women,group,genderandsexuality,1
61,work,issue,particular,1
61,prejudiceanddiscrimination_general,issue,general,1
61,children,group,age,1
61,peoplewithdisabilitiesorchronichealthconditions,group,healthstatus,1
61,inequality,issue,general,1
61,voice,issue,particular,1
62,violence,issue,particular,1
62,women,group,genderandsexuality,1
62,crime_criminaljustice,issue,particular,1
62,youngpeople,group,age,1
63,women,group,genderandsexuality,1
63,prejudiceanddiscrimination_general,issue,general,1
63,voice,issue,particular,1
64,violence,issue,particular,1
64,women,group,genderandsexuality,1
65,women,group,genderandsexuality,1
65,work,issue,particular,1
65,inequality,issue,general,1
66,women,group,genderandsexuality,1
66,children,group,age,1
67,violence,issue,particular,1
67,women,group,genderandsexuality,1
68,violence,issue,particular,1
68,women,group,genderandsexuality,1
68,familyrelations,issue,particular,1
69,violence,issue,particular,1
69,women,group,genderandsexuality,1
69,prejudiceanddiscrimination_general,issue,general,1
69,children,group,age,1
70,women,group,genderandsexuality,1
70,work,issue,particular,1
70,inequality,issue,general,1
71,women,group,genderandsexuality,1
71,shelter,issue,particular,1
72,women,group,genderandsexuality,1
72,prejudiceanddiscrimination_general,issue,general,1
72,racialminorities,group,culturalminorities,1
73,women,group,genderandsexuality,1
73,work,issue,particular,1
74,women,group,genderandsexuality,1
75,violence,issue,particular,1
75,women,group,genderandsexuality,1
76,women,group,genderandsexuality,1
76,work,issue,particular,1
76,familyrelations,issue,particular,1
77,violence,issue,particular,1
77,women,group,genderandsexuality,1
77,prejudiceanddiscrimination_general,issue,general,1
77,racialminorities,group,culturalminorities,1
78,violence,issue,particular,1
78,women,group,genderandsexuality,1
79,women,group,genderandsexuality,1
80,women,group,genderandsexuality,1
80,inequality,issue,general,1
80,voice,issue,particular,1
81,women,group,genderandsexuality,1
81,work,issue,particular,1
81,inequality,issue,general,1
82,women,group,genderandsexuality,1
82,unemployedorprecariouslyemployed,group,socioeconomicstatus,1
83,women,group,genderandsexuality,1
83,inequality,issue,general,1
83,youngpeople,group,age,1
84,women,group,genderandsexuality,1
84,prejudiceanddiscrimination_general,issue,general,1
84,voice,issue,particular,1
85,firstnations,group,culturalminorities,1
85,violence,issue,particular,1
85,crime_criminaljustice,issue,particular,1
85,children,group,age,1
85,peoplewithdisabilitiesorchronichealthconditions,group,healthstatus,1
85,youngpeople,group,age,1
86,firstnations,group,culturalminorities,1
87,firstnations,group,culturalminorities,1
88,firstnations,group,culturalminorities,1
88,healthcare_health,issue,particular,1
89,firstnations,group,culturalminorities,1
89,crime_criminaljustice,issue,particular,1
89,voice,issue,particular,1
90,firstnations,group,culturalminorities,1
90,violence,issue,particular,1
91,firstnations,group,culturalminorities,1
91,violence,issue,particular,1
91,crime_criminaljustice,issue,particular,1
91,children,group,age,1
91,familyrelations,issue,particular,1
92,firstnations,group,culturalminorities,1
93,firstnations,group,culturalminorities,1
93,inequality,issue,general,1
94,firstnations,group,culturalminorities,1
95,firstnations,group,culturalminorities,1
96,firstnations,group,culturalminorities,1
96,crime_criminaljustice,issue,particular,1
97,firstnations,group,culturalminorities,1
97,violence,issue,particular,1
97,crime_criminaljustice,issue,particular,1
97,healthcare_health,issue,particular,1
97,children,group,age,1
97,education,issue,particular,1
98,firstnations,group,culturalminorities,1
99,firstnations,group,culturalminorities,1
99,healthcare_health,issue,particular,1
99,youngpeople,group,age,1
100,firstnations,group,culturalminorities,1
100,violence,issue,particular,1
100,crime_criminaljustice,issue,particular,1
100,racialminorities,group,culturalminorities,1
101,firstnations,group,culturalminorities,1
101,prejudiceanddiscrimination_general,issue,general,1
101,racialminorities,group,culturalminorities,1
102,firstnations,group,culturalminorities,1
102,prejudiceanddiscrimination_general,issue,general,1
102,racialminorities,group,culturalminorities,1
102,voice,issue,particular,1
103,firstnations,group,culturalminorities,1
103,violence,issue,particular,1
104,firstnations,group,culturalminorities,1
104,crime_criminaljustice,issue,particular,1
105,firstnations,group,culturalminorities,1
105,violence,issue,particular,1
105,voice,issue,particular,1
106,firstnations,group,culturalminorities,1
106,voice,issue,particular,1
107,firstnations,group,culturalminorities,1
107,voice,issue,particular,1
108,firstnations,group,culturalminorities,1
108,violence,issue,particular,1
108,familyrelations,issue,particular,1
108,youngpeople,group,age,1
108,shelter,issue,particular,1
109,firstnations,group,culturalminorities,1
109,prejudiceanddiscrimination_general,issue,general,1
110,firstnations,group,culturalminorities,1
110,peoplewithdisabilitiesorchronichealthconditions,group,healthstatus,1
111,firstnations,group,culturalminorities,1
111,work,issue,particular,1
111,unemployedorprecariouslyemployed,group,socioeconomicstatus,1
111,shelter,issue,particular,1
112,firstnations,group,culturalminorities,1
112,violence,issue,particular,1
112,crime_criminaljustice,issue,particular,1
112,healthcare_health,issue,particular,1
113,firstnations,group,culturalminorities,1
113,crime_criminaljustice,issue,particular,1
113,education,issue,particular,1
114,firstnations,group,culturalminorities,1
114,inequality,issue,general,1
115,firstnations,group,culturalminorities,1
115,prejudiceanddiscrimination_general,issue,general,1
115,racialminorities,group,culturalminorities,1
116,firstnations,group,culturalminorities,1
116,crime_criminaljustice,issue,particular,1
116,prejudiceanddiscrimination_general,issue,general,1
116,racialminorities,group,culturalminorities,1
116,voice,issue,particular,1
117,firstnations,group,culturalminorities,1
117,crime_criminaljustice,issue,particular,1
117,healthcare_health,issue,particular,1
117,youngpeople,group,age,1
118,firstnations,group,culturalminorities,1
118,voice,issue,particular,1
119,firstnations,group,culturalminorities,1
119,violence,issue,particular,1
119,children,group,age,1
119,familyrelations,issue,particular,1
120,firstnations,group,culturalminorities,1
120,work,issue,particular,1
120,youngpeople,group,age,1
120,education,issue,particular,1
121,firstnations,group,culturalminorities,1
121,voice,issue,particular,1
122,firstnations,group,culturalminorities,1
122,violence,issue,particular,1
122,crime_criminaljustice,issue,particular,1
122,children,group,age,1
122,familyrelations,issue,particular,1
122,peoplewithdisabilitiesorchronichealthconditions,group,healthstatus,1
122,shelter,issue,particular,1
123,firstnations,group,culturalminorities,1
123,crime_criminaljustice,issue,particular,1
123,racialminorities,group,culturalminorities,1
123,inequality,issue,general,1
124,firstnations,group,culturalminorities,1
124,violence,issue,particular,1
124,crime_criminaljustice,issue,particular,1
124,healthcare_health,issue,particular,1
124,familyrelations,issue,particular,1
125,firstnations,group,culturalminorities,1
125,inequality,issue,general,1
126,firstnations,group,culturalminorities,1
126,violence,issue,particular,1
126,crime_criminaljustice,issue,particular,1
126,unemployedorprecariouslyemployed,group,socioeconomicstatus,1
127,firstnations,group,culturalminorities,1
127,violence,issue,particular,1
127,crime_criminaljustice,issue,particular,1
127,prejudiceanddiscrimination_general,issue,general,1
127,familyrelations,issue,particular,1
128,firstnations,group,culturalminorities,1
128,crime_criminaljustice,issue,particular,1
129,firstnations,group,culturalminorities,1
129,work,issue,particular,1
129,inequality,issue,general,1
129,youngpeople,group,age,1
130,firstnations,group,culturalminorities,1
130,healthcare_health,issue,particular,1
131,firstnations,group,culturalminorities,1
131,work,issue,particular,1
131,crime_criminaljustice,issue,particular,1
131,healthcare_health,issue,particular,1
131,children,group,age,1
131,education,issue,particular,1
132,firstnations,group,culturalminorities,1
132,violence,issue,particular,1
132,crime_criminaljustice,issue,particular,1
132,prejudiceanddiscrimination_general,issue,general,1
133,firstnations,group,culturalminorities,1
133,unemployedorprecariouslyemployed,group,socioeconomicstatus,1
134,firstnations,group,culturalminorities,1
134,crime_criminaljustice,issue,particular,1
134,healthcare_health,issue,particular,1
134,voice,issue,particular,1
135,firstnations,group,culturalminorities,1
135,crime_criminaljustice,issue,particular,1
135,prejudiceanddiscrimination_general,issue,general,1
135,racialminorities,group,culturalminorities,1
136,firstnations,group,culturalminorities,1
137,firstnations,group,culturalminorities,1
137,crime_criminaljustice,issue,particular,1
137,racialminorities,group,culturalminorities,1
138,firstnations,group,culturalminorities,1
138,prejudiceanddiscrimination_general,issue,general,1
138,racialminorities,group,culturalminorities,1
139,firstnations,group,culturalminorities,1
139,crime_criminaljustice,issue,particular,1
139,youngpeople,group,age,1
139,shelter,issue,particular,1
140,firstnations,group,culturalminorities,1
140,crime_criminaljustice,issue,particular,1
140,peoplewithdisabilitiesorchronichealthconditions,group,healthstatus,1
141,firstnations,group,culturalminorities,1
141,racialminorities,group,culturalminorities,1
142,firstnations,group,culturalminorities,1
142,racialminorities,group,culturalminorities,1
143,firstnations,group,culturalminorities,1
143,work,issue,particular,1
143,peoplewithdisabilitiesorchronichealthconditions,group,healthstatus,1
143,youngpeople,group,age,1
143,education,issue,particular,1
144,firstnations,group,culturalminorities,1
145,firstnations,group,culturalminorities,1
145,violence,issue,particular,1
145,crime_criminaljustice,issue,particular,1
145,children,group,age,1
146,firstnations,group,culturalminorities,1
146,familyrelations,issue,particular,1
147,firstnations,group,culturalminorities,1
148,firstnations,group,culturalminorities,1
148,healthcare_health,issue,particular,1
148,children,group,age,1
148,youngpeople,group,age,1
148,shelter,issue,particular,1
148,education,issue,particular,1
149,firstnations,group,culturalminorities,1
150,firstnations,group,culturalminorities,1
150,violence,issue,particular,1
151,firstnations,group,culturalminorities,1
151,healthcare_health,issue,particular,1
151,shelter,issue,particular,1
152,firstnations,group,culturalminorities,1
152,crime_criminaljustice,issue,particular,1
152,prejudiceanddiscrimination_general,issue,general,1
152,racialminorities,group,culturalminorities,1
153,firstnations,group,culturalminorities,1
153,violence,issue,particular,1
153,crime_criminaljustice,issue,particular,1
153,healthcare_health,issue,particular,1
154,firstnations,group,culturalminorities,1
154,healthcare_health,issue,particular,1
154,education,issue,particular,1
155,firstnations,group,culturalminorities,1
156,firstnations,group,culturalminorities,1
156,violence,issue,particular,1
156,crime_criminaljustice,issue,particular,1
157,firstnations,group,culturalminorities,1
157,violence,issue,particular,1
157,prejudiceanddiscrimination_general,issue,general,1
157,racialminorities,group,culturalminorities,1
158,firstnations,group,culturalminorities,1
158,violence,issue,particular,1
158,crime_criminaljustice,issue,particular,1
158,prejudiceanddiscrimination_general,issue,general,1
159,firstnations,group,culturalminorities,1
159,work,issue,particular,1
159,prejudiceanddiscrimination_general,issue,general,1
160,firstnations,group,culturalminorities,1
160,violence,issue,particular,1
160,crime_criminaljustice,issue,particular,1
160,voice,issue,particular,1
161,firstnations,group,culturalminorities,1
162,firstnations,group,culturalminorities,1
162,crime_criminaljustice,issue,particular,1
162,prejudiceanddiscrimination_general,issue,general,1
162,healthcare_health,issue,particular,1
162,education,issue,particular,1
163,firstnations,group,culturalminorities,1
163,work,issue,particular,1
163,crime_criminaljustice,issue,particular,1
163,prejudiceanddiscrimination_general,issue,general,1
163,unemployedorprecariouslyemployed,group,socioeconomicstatus,1
164,firstnations,group,culturalminorities,1
164,work,issue,particular,1
164,crime_criminaljustice,issue,particular,1
164,education,issue,particular,1
165,firstnations,group,culturalminorities,1
165,violence,issue,particular,1
165,crime_criminaljustice,issue,particular,1
165,voice,issue,particular,1
166,firstnations,group,culturalminorities,1
166,voice,issue,particular,1
167,voice,issue,particular,1
168,work,issue,particular,1
168,healthcare_health,issue,particular,1
168,unemployedorprecariouslyemployed,group,socioeconomicstatus,1
169,violence,issue,particular,1
169,voice,issue,particular,1
170,healthcare_health,issue,particular,1
170,peoplewithdisabilitiesorchronichealthconditions,group,healthstatus,1
171,violence,issue,particular,1
171,crime_criminaljustice,issue,particular,1
171,children,group,age,1
173,racialminorities,group,culturalminorities,1
173,peoplewithdisabilitiesorchronichealthconditions,group,healthstatus,1
173,youngpeople,group,age,1
174,work,issue,particular,1
174,unemployedorprecariouslyemployed,group,socioeconomicstatus,1
175,peoplewithdisabilitiesorchronichealthconditions,group,healthstatus,1
176,work,issue,particular,1
176,children,group,age,1
176,youngpeople,group,age,1
176,education,issue,particular,1
177,healthcare_health,issue,particular,1
177,shelter,issue,particular,1
178,peoplewithdisabilitiesorchronichealthconditions,group,healthstatus,1
179,education,issue,particular,1
180,work,issue,particular,1
180,crime_criminaljustice,issue,particular,1
180,prejudiceanddiscrimination_general,issue,general,1
180,racialminorities,group,culturalminorities,1
180,education,issue,particular,1
181,violence,issue,particular,1
181,healthcare_health,issue,particular,1
181,children,group,age,1
181,peoplewithdisabilitiesorchronichealthconditions,group,healthstatus,1
182,violence,issue,particular,1
182,crime_criminaljustice,issue,particular,1
182,prejudiceanddiscrimination_general,issue,general,1
182,racialminorities,group,culturalminorities,1
183,prejudiceanddiscrimination_general,issue,general,1
183,racialminorities,group,culturalminorities,1
184,violence,issue,particular,1
184,children,group,age,1
185,prejudiceanddiscrimination_general,issue,general,1
186,violence,issue,particular,1
186,children,group,age,1
187,work,issue,particular,1
187,unemployedorprecariouslyemployed,group,socioeconomicstatus,1
187,inequality,issue,general,1
188,violence,issue,particular,1
188,crime_criminaljustice,issue,particular,1
188,racialminorities,group,culturalminorities,1
188,youngpeople,group,age,1
189,work,issue,particular,1
189,youngpeople,group,age,1
190,work,issue,particular,1
190,peoplewithdisabilitiesorchronichealthconditions,group,healthstatus,1
191,racialminorities,group,culturalminorities,1
192,peoplewithdisabilitiesorchronichealthconditions,group,healthstatus,1
193,work,issue,particular,1
193,crime_criminaljustice,issue,particular,1
193,unemployedorprecariouslyemployed,group,socioeconomicstatus,1
193,inequality,issue,general,1
194,unemployedorprecariouslyemployed,group,socioeconomicstatus,1
194,education,issue,particular,1
195,work,issue,particular,1
195,unemployedorprecariouslyemployed,group,socioeconomicstatus,1
195,youngpeople,group,age,1
197,healthcare_health,issue,particular,1
197,unemployedorprecariouslyemployed,group,socioeconomicstatus,1
198,peoplewithdisabilitiesorchronichealthconditions,group,healthstatus,1
198,shelter,issue,particular,1
199,work,issue,particular,1
199,unemployedorprecariouslyemployed,group,socioeconomicstatus,1
200,prejudiceanddiscrimination_general,issue,general,1
200,peoplewithdisabilitiesorchronichealthconditions,group,healthstatus,1
201,children,group,age,1
201,shelter,issue,particular,1
202,unemployedorprecariouslyemployed,group,socioeconomicstatus,1
203,work,issue,particular,1
203,healthcare_health,issue,particular,1
203,unemployedorprecariouslyemployed,group,socioeconomicstatus,1
204,crime_criminaljustice,issue,particular,1
204,prejudiceanddiscrimination_general,issue,general,1
205,racialminorities,group,culturalminorities,1
207,violence,issue,particular,1
207,familyrelations,issue,particular,1
207,youngpeople,group,age,1
207,shelter,issue,particular,1
208,violence,issue,particular,1
208,crime_criminaljustice,issue,particular,1
208,shelter,issue,particular,1
209,crime_criminaljustice,issue,particular,1
209,prejudiceanddiscrimination_general,issue,general,1
210,unemployedorprecariouslyemployed,group,socioeconomicstatus,1
210,youngpeople,group,age,1
210,shelter,issue,particular,1
211,prejudiceanddiscrimination_general,issue,general,1
211,healthcare_health,issue,particular,1
211,racialminorities,group,culturalminorities,1
212,children,group,age,1
212,peoplewithdisabilitiesorchronichealthconditions,group,healthstatus,1
212,inequality,issue,general,1
213,work,issue,particular,1
213,healthcare_health,issue,particular,1
213,racialminorities,group,culturalminorities,1
213,inequality,issue,general,1
214,familyrelations,issue,particular,1
214,education,issue,particular,1
215,racialminorities,group,culturalminorities,1
215,inequality,issue,general,1
216,violence,issue,particular,1
216,crime_criminaljustice,issue,particular,1
216,healthcare_health,issue,particular,1
217,healthcare_health,issue,particular,1
217,peoplewithdisabilitiesorchronichealthconditions,group,healthstatus,1
218,work,issue,particular,1
218,healthcare_health,issue,particular,1
218,familyrelations,issue,particular,1
218,peoplewithdisabilitiesorchronichealthconditions,group,healthstatus,1
219,unemployedorprecariouslyemployed,group,socioeconomicstatus,1
220,violence,issue,particular,1
220,healthcare_health,issue,particular,1
220,familyrelations,issue,particular,1
220,peoplewithdisabilitiesorchronichealthconditions,group,healthstatus,1
221,prejudiceanddiscrimination_general,issue,general,1
221,racialminorities,group,culturalminorities,1
222,prejudiceanddiscrimination_general,issue,general,1
222,racialminorities,group,culturalminorities,1
222,peoplewithdisabilitiesorchronichealthconditions,group,healthstatus,1
223,violence,issue,particular,1
223,children,group,age,1
224,work,issue,particular,1
224,prejudiceanddiscrimination_general,issue,general,1
224,unemployedorprecariouslyemployed,group,socioeconomicstatus,1
226,violence,issue,particular,1
226,healthcare_health,issue,particular,1
227,racialminorities,group,culturalminorities,1
228,violence,issue,particular,1
228,crime_criminaljustice,issue,particular,1
229,work,issue,particular,1
229,unemployedorprecariouslyemployed,group,socioeconomicstatus,1
229,peoplewithdisabilitiesorchronichealthconditions,group,healthstatus,1
229,shelter,issue,particular,1
229,education,issue,particular,1
230,healthcare_health,issue,particular,1
230,shelter,issue,particular,1
231,prejudiceanddiscrimination_general,issue,general,1
231,racialminorities,group,culturalminorities,1
232,work,issue,particular,1
232,unemployedorprecariouslyemployed,group,socioeconomicstatus,1
233,voice,issue,particular,1
234,unemployedorprecariouslyemployed,group,socioeconomicstatus,1
235,work,issue,particular,1
235,unemployedorprecariouslyemployed,group,socioeconomicstatus,1
236,work,issue,particular,1
236,unemployedorprecariouslyemployed,group,socioeconomicstatus,1
237,violence,issue,particular,1
237,healthcare_health,issue,particular,1
237,familyrelations,issue,particular,1
237,shelter,issue,particular,1
238,prejudiceanddiscrimination_general,issue,general,1
238,racialminorities,group,culturalminorities,1
239,children,group,age,1
239,inequality,issue,general,1
239,youngpeople,group,age,1
239,education,issue,particular,1
241,work,issue,particular,1
241,prejudiceanddiscrimination_general,issue,general,1
242,violence,issue,particular,1
242,familyrelations,issue,particular,1
242,peoplewithdisabilitiesorchronichealthconditions,group,healthstatus,1
243,violence,issue,particular,1
243,crime_criminaljustice,issue,particular,1
243,peoplewithdisabilitiesorchronichealthconditions,group,healthstatus,1
244,violence,issue,particular,1
244,work,issue,particular,1
244,crime_criminaljustice,issue,particular,1
244,racialminorities,group,culturalminorities,1
245,violence,issue,particular,1
245,healthcare_health,issue,particular,1
245,familyrelations,issue,particular,1
245,peoplewithdisabilitiesorchronichealthconditions,group,healthstatus,1
246,work,issue,particular,1
246,unemployedorprecariouslyemployed,group,socioeconomicstatus,1
247,work,issue,particular,1
247,crime_criminaljustice,issue,particular,1
248,violence,issue,particular,1
248,prejudiceanddiscrimination_general,issue,general,1
248,racialminorities,group,culturalminorities,1
249,violence,issue,particular,1
249,healthcare_health,issue,particular,1
249,familyrelations,issue,particular,1
250,inequality,issue,general,1
250,youngpeople,group,age,1
250,shelter,issue,particular,1
251,unemployedorprecariouslyemployed,group,socioeconomicstatus,1
252,healthcare_health,issue,particular,1
253,healthcare_health,issue,particular,1
254,peoplewithdisabilitiesorchronichealthconditions,group,healthstatus,1
254,voice,issue,particular,1
255,violence,issue,particular,1
255,children,group,age,1
257,violence,issue,particular,1
257,racialminorities,group,culturalminorities,1
257,familyrelations,issue,particular,1
257,shelter,issue,particular,1
258,prejudiceanddiscrimination_general,issue,general,1
258,unemployedorprecariouslyemployed,group,socioeconomicstatus,1
259,violence,issue,particular,1
259,crime_criminaljustice,issue,particular,1
259,children,group,age,1
260,violence,issue,particular,1
260,youngpeople,group,age,1
261,work,issue,particular,1
261,children,group,age,1
261,education,issue,particular,1
262,work,issue,particular,1
262,unemployedorprecariouslyemployed,group,socioeconomicstatus,1
262,youngpeople,group,age,1
263,violence,issue,particular,1
263,work,issue,particular,1
263,healthcare_health,issue,particular,1
263,unemployedorprecariouslyemployed,group,socioeconomicstatus,1
263,peoplewithdisabilitiesorchronichealthconditions,group,healthstatus,1
264,shelter,issue,particular,1
265,prejudiceanddiscrimination_general,issue,general,1
265,unemployedorprecariouslyemployed,group,socioeconomicstatus,1
